house_name,house_location,house_status,house_price,price_unit
沈阳万达公馆,[ 浑南区 浑南区 ] 营盘西街17-6号,在售,13500,元/㎡
越秀岄湖郡,[ 沈北新区 蒲河 ] 蒲北路6号,在售,7900,元/㎡起
旭辉宸寓,[ 沈河 北站 ] 团结路59号,在售,12000,元/㎡
富景学府新城,[ 铁西 经济技术开发区 ] 沈辽西路139号,在售,5500,元/㎡
新湖仙林金谷,"[ 沈北新区 道义 ] 蒲北路,近孝汉北街",在售,6000,元/㎡
国王湖,[ 东陵 辉山开发区 ] 世博东街69号（世博园东墙外）,在售,10000,元/㎡起
瑞京维多利亚国际公馆,[ 铁西 铁西 ] 北二西路29甲3号,在售,9500,元/㎡
保利达大象,[ 浑南区 浑南区 ] 浑南二路6号,在售,10000,元/㎡
云米智慧之光,[ 于洪 于洪 ] 黄河大街西-2号,待售,12000,元/㎡
荣盛和悦名邸,[ 铁西 经济技术开发区 ] 沈辽西路136号,待售,8047,元/m²
坤博幸福城,[ 沈北新区 沈北新区 ] 沈北路108号,在售,6000,元/㎡
国大·沈北壹号,[ 沈北新区 新城子 ] 新城子常州路34号（南转盘北侧）,在售,5300,元/㎡
伴山湖,[ 东陵 辉山开发区 ] 世博东街53号,在售,8000,元/㎡起
长堤湾,[ 苏家屯 区中心 ] 南京南街1066号,在售,5500,元/㎡起
皇家首座,[ 沈北新区 道义 ] 道义南大街68号,在售,6800,元/㎡
世茂世博青青小镇,[ 浑南区 浑南区 ] 森林路2号,在售,9500,元/㎡起
世代公园里,[ 于洪 于洪 ] 东湖街(黄海公园南),在售,8000,元/㎡起
七星九龙湾,[ 沈北新区 道义 ] 七星大街53-10,在售,5300,元/㎡
瑞家坚果,[ 大东 大东 ] 钢泉巷2号,在售,8000,元/㎡起
浑河·国际城,[ 苏家屯 区中心 ] 红椿路89号,在售,12000,元/㎡
北汤国际温泉小镇,[ 沈北新区 新城子 ] 杭州路189号（虎石台大街与杭州路交汇...,待售,6872,元/m²
幸福阳光,[ 于洪 于洪 ] 青城山路133—3号（黄河北大街与青城山...,在售,5600,元/㎡
